poem_name	poem
sonnet xx	woman face natur hand paint hast thou master - mistress passion ; woman gentl heart acquaint shift chang fals women fashion ; eye bright less fals roll gild object whereupon gazeth ; man hue hue control much steal men eye women soul amazeth woman wert thou first creat ; till natur wrought thee fell - dote addit thee defeat ad one thing purpos noth sinc prickd thee women pleasur mine thi love thi love use treasur
sonnet xxi	muse stirrd paint beauti vers heaven ornament doth use everi fair fair doth rehears make couplement proud compar sun moon earth sea rich gem april first - born flower thing rare heaven air huge rondur hem o let true love truli write believ love fair mother child though bright gold candl fixd heaven air let say like hearsay well ; prais purpos sell
sonnet xxii	glass shall persuad old long youth thou one date ; thee time furrow behold look death day expiat beauti doth cover thee seemli raiment heart thi breast doth live thine elder thou art o therefor love thyself wari thee ; bear thi heart keep chari tender nurs babe fare ill presum thi heart mine slain ; thou gavest thine give back
sonnet xxiii	unperfect actor stage fear put besid part fierc thing replet much rage whose strength abund weaken heart fear trust forget say perfect ceremoni love rite mine love strength seem decay oercharg burden mine love might o let book eloqu dumb presag speak breast plead love look recompens tongu hath expressd o learn read silent love hath writ hear eye belong love fine wit
sonnet xxiv	mine eye hath playd painter hath stelld thi beauti form tabl heart ; bodi frame wherein ti held perspect painter art painter must see skill find true imag pictur lie ; bosom shop hang still hath window glaze thine eye see good turn eye eye done mine eye drawn thi shape thine window breast - sun delight peep gaze therein thee ; yet eye cun want grace art ; draw see know heart
sonnet xxv	let favour star public honour proud titl boast whilst fortun triumph bar unlookd joy honour great princ favourit fair leav spread marigold sun eye pride lie buri frown glori die pain warrior famous fight thousand victori foild book honour raze quit rest forgot toild happi love belov may remov remov
sonnet xxvi	lord love vassalag thi merit hath duti strongli knit thee send written embassag wit duti show wit duti great wit poor mine may make seem bare want word show hope good conceit thine thi soul thought nake bestow ; till whatsoev star guid move point gracious fair aspect put apparel tatterd love show worthi thi sweet respect may dare boast love thee ; till show head thou mayst prove
sonnet xxvii	weari toil hast bed dear repos limb travel tire ; begin journey head work mind bodi work expir thought far abid intend zealou pilgrimag thee keep droop eyelid open wide look dark blind see save soul imaginari sight present thi shadow sightless view like jewel hung ghastli night make black night beauteou old face new lo thu day limb night mind thee quiet find
sonnet xxviii	return happi plight debarrd benefit rest day oppress eas night day night night day oppressd though enemi either reign consent shake hand tortur ; one toil complain far toil still farther thee tell day pleas thou art bright dost grace cloud blot heaven flatter swart - complexiond night sparkl star twire thou gildst even day doth daili draw sorrow longer night doth nightli make grief strength seem stronger
sonnet xxix	disgrac fortun men eye alon beweep outcast state troubl deaf heaven bootless cri look upon curs fate wish like one rich hope featur like like friend possessd desir man art man scope enjoy content least ; yet thought almost despis hapli think thee state like lark break day aris sullen earth sing hymn heaven gate ; thi sweet love rememberd wealth bring scorn chang state king
sonnet xxx	session sweet silent thought summon remembr thing past sigh lack mani thing sought old woe new wail dear time wast drown eye unus flow preciou friend hid death dateless night weep afresh love long sinc cancelld woe moan expens mani vanishd sight griev grievanc foregon heavili woe woe tell oer sad account fore - bemoan moan new pay paid think thee dear friend loss restor sorrow end
sonnet xxxi	thi bosom endear heart lack suppos dead reign love love love part friend thought buri mani holi obsequi tear hath dear religi love stoln mine eye interest dead appear thing remov hidden thee lie thou art grave buri love doth live hung trophi lover gone part thee give ; due mani thine alon imag love view thee thou hast
sonnet xxxii	thou surviv well - content day churl death bone dust shall cover shalt fortun re - survey poor rude line thi deceas lover compar better time though outstrippd everi pen reserv love rhyme exceed height happier men o vouchsaf love thought friend muse grown grow age dearer birth love brought march rank better equipag sinc die poet better prove style ill read love
sonnet xxxiii	full mani gloriou morn seen flatter mountain - top sovereign eye kiss golden face meadow green gild pale stream heavenli alchemi ; anon permit basest cloud ride ugli rack celesti face forlorn world visag hide steal unseen west disgrac even sun one earli morn shine triumphant splendor brow ; alack one hour mine ; region cloud hath maskd yet love whit disdaineth ; sun world may stain heaven sun staineth
sonnet xxxiv	didst thou promis beauteou day make travel forth without cloak let base cloud oertak way hide thi braveri rotten smoke ti enough cloud thou break dri rain storm - beaten face man well salv speak heal wound cure disgrac thi shame give physic grief ; though thou repent yet still loss offend sorrow lend weak relief bear strong offenc cross ah tear pearl thi love shed rich ransom ill deed
sonnet xxxv	griev thou hast done rose thorn silver fountain mud ; cloud eclips stain moon sun loathsom canker live sweetest bud men make fault even author thi trespass compar corrupt salv thi amiss excus thi sin thi sin ; thi sensual fault bring sens -- thi advers parti thi advoc -- gainst law plea commenc civil war love hate accessari need must sweet thief sourli rob
sonnet xxxvi	let confess two must twain although undivid love one shall blot remain without thi help born alon two love one respect though live separ spite though alter love sole effect yet doth steal sweet hour love delight may evermor acknowledg thee lest bewail guilt thee shame thou public kind honour unless thou take honour thi name ; love thee sort thou mine mine thi good report
sonnet xxxvii	decrepit father take delight see activ child deed youth made lame fortun dearest spite take comfort thi worth truth whether beauti birth wealth wit entitl thi part crown sit make love engraft store lame poor despis whilst shadow doth substanc give thi abund suffic part thi glori live look best best wish thee wish ; ten time happi
sonnet xxxviii	muse want subject invent thou dost breath pourst vers thine sweet argument excel everi vulgar paper rehears o give thyself thank aught worthi perus stand thi sight ; who dumb cannot write thee thou thyself dost give invent light thou tenth muse ten time worth old nine rhymer invoc ; call thee let bring forth etern number outliv long date slight muse pleas curiou day pain mine thine shall prais
sonnet xxxix	o thi worth manner may sing thou art better part mine prais mine self bring mine prais thee even let us divid live dear love lose name singl one separ may give due thee thou deservest alon o absenc torment wouldst thou prove thi sour leisur gave sweet leav entertain time thought love time thought sweetli doth deceiv thou teachest make one twain prais doth henc remain
sonnet xl	take love love yea take ; hast thou thou hadst love love thou mayst true love call ; mine thine thou hadst love thou love receivest cannot blame thee love thou usest ; yet blame thou thyself deceivest wil tast thyself refusest forgiv thi robberi gentl thief although thou steal thee poverti ; yet love know greater grief bear love wrong hate known injuri lascivi grace ill well show kill spite ; yet must foe
sonnet xli	petti wrong liberti commit sometim absent thi heart thi beauti thi year full well befit still temptat follow thou art gentl thou art therefor won beauteou thou art therefor assail ; woman woo woman son sourli leav till prevail ay yet thou mightest seat forbear chide tri beauti thi stray youth lead thee riot even thou art forc break twofold truth thi beauti tempt thee thine thi beauti fals
sonnet xlii	thou hast grief yet may said love dearli ; hath thee wail chief loss love touch nearli love offend thu excus ye thou dost love thou knowst love ; sake even doth abus suffer friend sake approv lose thee loss love gain lose friend hath found loss ; find lose twain sake lay cross here joy ; friend one ; sweet flatteri love alon
sonnet xliii	wink mine eye best see day view thing unrespect ; sleep dream look thee darkli bright bright dark direct thou whose shadow shadow doth make bright would thi shadow form form happi show clear day thi much clearer light unse eye thi shade shine would say mine eye bless made look thee live day dead night thi fair imperfect shade heavi sleep sightless eye doth stay day night see till see thee night bright day dream show thee
sonnet xliv	dull substanc flesh thought injuri distanc stop way ; despit space would brought limit far remot thou dost stay matter although foot stand upon farthest earth remov thee ; nimbl thought jump sea land soon think place would ah thought kill thought leap larg length mile thou art gone much earth water wrought must attend time leisur moan receiv nought element slow heavi tear badg either woe
sonnet xlv	two slight air purg fire thee wherev abid ; first thought desir present - absent swift motion slide quicker element gone tender embassi love thee life made four two alon sink death oppressd melancholi ; life composit recur swift messeng returnd thee even come back assur thi fair health recount told joy ; longer glad send back straight grow sad
sonnet xlvi	mine eye heart mortal war divid conquest thi sight ; mine eye heart thi pictur sight would bar heart mine eye freedom right heart doth plead thou dost lie -- closet never pierc crystal eye -- defend doth plea deni say thi fair appear lie cide titl impannel quest thought tenant heart verdict determin clear eye moieti dear heart part thu ; mine eye due thi outward part heart right thi inward love heart
sonnet xlvii	betwixt mine eye heart leagu took doth good turn unto mine eye famishd look heart love sigh doth smother love pictur eye doth feast paint banquet bid heart ; anoth time mine eye heart guest thought love doth share part either thi pictur love thyself away art resent still ; thou farther thought canst move still thee ; sleep thi pictur sight awak heart heart eye delight
sonnet xlviii	care took way trifl truest bar thrust use might unus stay hand falsehood sure ward trust thou jewel trifl worthi comfort greatest grief thou best dearest mine care art left prey everi vulgar thief thee lockd chest save thou art though feel thou art within gentl closur breast whenc pleasur thou mayst come part ; even thenc thou wilt stoln fear truth prove thievish prize dear
sonnet xlix	time ever time come shall see thee frown defect thi love hath cast utmost sum calld audit advis respect ; time thou shalt strang pass scarc greet sun thine eye love convert thing shall reason find settl graviti -- time ensconc within knowledg mine desert hand uprear guard law reason thi part leav poor thou hast strength law sinc love alleg caus
sonnet l	heavi journey way seek weari travel end doth teach eas repos say thu far mile measur thi friend beast bear tire woe plod dulli bear weight instinct wretch know rider love speed made thee bloodi spur cannot provok sometim anger thrust hide ; heavili answer groan sharp spur side ; groan doth put mind ; grief lie onward joy behind
sonnet li	thu love excus slow offenc dull bearer thee speed thou art hast thenc till return post need o excus poor beast find swift extrem seem slow spur though mount wind ; wing speed motion shall know hors desir keep pace ; therefor desir perfectst love made shall neigh -- dull flesh -- fieri race ; love love thu shall excus jade ; sinc thee go went wil - slow toward thee ill run give leav go
sonnet lii	rich whose bless key bring sweet - lock treasur everi hour survey blunt fine point seldom pleasur therefor feast solemn rare sinc seldom come long year set like stone worth thinli place captain jewel carcanet time keep chest wardrob robe doth hide make special instant special blest new unfold imprisond pride bless whose worthi give scope triumph lackd hope
sonnet liii	substanc whereof made million strang shadow tend sinc everi one hath everi one one shade one everi shadow lend describ adoni counterfeit poorli imit ; helen cheek art beauti set grecian tire paint new speak spring foison year ; one doth shadow beauti show bounti doth appear ; everi bless shape know extern grace part like none none constant heart
sonnet liv	o much doth beauti beauteou seem sweet ornament truth doth give rose look fair fairer deem sweet odour doth live canker - bloom full deep dye perfum tinctur rose hang thorn play wantonli summer breath mask bud disclos virtu show live unwood unrespect fade die sweet rose ; sweet death sweetest odour made beauteou love youth shall fade vers distil truth
sonnet lv	marbl gild monument princ shall outliv power rhyme ; shall shine bright content unswept stone besmeard sluttish time wast war shall statu overturn broil root work masonri mar sword war quick fire shall burn live record memori gainst death - oblivi enmiti shall pace forth ; prais shall still find room even eye poster wear world end doom till judgment aris live dwell lover eye
sonnet lvi	sweet love renew thi forc ; said thi edg blunter appetit - day feed allayd - morrow sharpend former might love thou ; although - day thou fill thi hungri eye even till wink full - morrow see kill spirit love perpetu dull let sad interim like ocean part shore two contract new come daili bank see return love blest may view ; els call winter full care make summer welcom thrice wishd rare
sonnet lvii	slave tend upon hour time desir preciou time spend servic till requir dare chide world - without - end hour whilst sovereign watch clock think bitter absenc sour bid servant adieu ; dare question jealou thought may affair suppos like sad slave stay think nought save happi make true fool love though thing think ill
sonnet lviii	god forbid made first slave thought control time pleasur hand account hour crave vassal bound stay leisur o let suffer beck imprisond absenc liberti ; patienc tame suffer bide chequ without accus injuri list charter strong may privileg time ; doth belong pardon self - crime wait though wait hell ; blame pleasur ill well
sonnet lix	noth new hath brain beguil labour invent bear amiss second burden former child o record could backward look even five hundr cours sun show imag antiqu book sinc mind first charact done might see old world could say compos wonder frame ; whether mend whether better whether revolut o sure wit former day subject wors given admir prais
sonnet lx	like wave make toward pebbl shore minut hasten end ; chang place goe sequent toil forward contend nativ main light crawl matur wherewith crownd crook elips gainst glori fight time gave doth gift confound time doth transfix flourish set youth delv parallel beauti brow feed rariti natur truth noth stand scyth mow yet time hope vers shall stand prais thi worth despit cruel hand
sonnet lxi	thi thi imag keep open heavi eyelid weari night dost thou desir slumber broken shadow like thee mock sight thi spirit thou sendst thee far home deed pri find shame idl hour scope tenor thi jealousi o thi love though much great love keep mine eye awak ; mine true love doth rest defeat play watchman ever thi sake thee watch whilst thou dost wake elsewher far other near
sonnet lxii	sin self - love possesseth mine eye soul everi part ; sin remedi ground inward heart methink face graciou mine shape true truth account ; mine worth defin worth surmount glass show inde beat choppd tannd antiqu mine self - love quit contrari read ; self self - love iniqu ti thee prais paint age beauti thi day
sonnet lxiii	love shall time injuri hand crushd oer - worn ; hour draind blood filld brow line wrinkl ; youth morn hath travelld age steepi night beauti whereof he king vanish vanishd sight steal away treasur spring ; time fortifi confound age cruel knife shall never cut memori sweet love beauti though lover life beauti shall black line seen shall live still green
sonnet lxiv	seen time fell hand defac rich proud cost outworn buri age ; sometim lofti tower see - raze brass etern slave mortal rage ; seen hungri ocean gain advantag kingdom shore firm soil win wateri main increas store loss loss store ; seen interchang state state confound decay ; ruin hath taught thu rumin time come take love away thought death cannot choos weep fear lose
sonnet lxv	sinc brass stone earth boundless sea sad mortal oer - sway power rage shall beauti hold plea whose action stronger flower o shall summer honey breath hold wreck sieg batter day rock impregn stout gate steel strong time decay o fear medit alack shall time best jewel time chest lie hid strong hand hold swift foot back spoil beauti forbid o none unless miracl might black ink love may still shine bright
sonnet lxvi	tire rest death cri behold desert beggar born needi noth trimmd jolliti purest faith unhappili forsworn guild honour shame misplac maiden virtu rude strumpet right perfect wrong disgrac strength limp sway disabl art made tongu - tie author folli doctor - like control skill simpl truth miscalld simplic captiv good attend captain ill tire would gone save die leav love alon
sonnet lxvii	ah wherefor infect live presenc grace impieti sin advantag achiev lace societi fals paint imit cheek steal dead see live hue poor beauti indirectli seek rose shadow sinc rose true live natur bankrupt beggard blood blush live vein hath exchequ proud mani live upon gain o store show wealth day long sinc last bad
sonnet lxviii	thu cheek map day outworn beauti live die flower bastard sign fair born durst inhabit live brow ; golden tress dead right sepulchr shorn away live second life second head ; ere beauti dead fleec made anoth gay holi antiqu hour seen without ornament true make summer anoth green rob old dress beauti new ; map doth natur store show fals art beauti yore
sonnet lxix	part thee world eye doth view want noth thought heart mend ; tongu voic soul give thee due utter bare truth even foe commend thi outward thu outward prais crownd ; tongu give thee thine accent prais confound see farther eye hath shown look beauti thi mind guess measur thi deed ; churl thought although eye kind thi fair flower add rank smell weed thi odour matcheth thi show solv thou dost common grow
sonnet lxx	thou art blame shall thi defect slander mark ever yet fair ; ornament beauti suspect crow fli heaven sweetest air thou good slander doth approv thi worth greater wood time ; canker vice sweetest bud doth love thou presentst pure unstain prime thou hast passd ambush young day either assaild victor charg ; yet thi prais cannot thi prais tie envi evermor enlarg suspect ill maskd thi show thou alon kingdom heart shouldst owe
sonnet lxxi	longer mourn dead shall hear surli sullen bell give warn world fled vile world vilest worm dwell nay read line rememb hand writ ; love sweet thought would forgot think make woe o say look upon vers perhap compound clay much poor name rehears let love even life decay lest wise world look moan mock gone
sonnet lxxii	o lest world task recit merit live love death dear love forget quit noth worthi prove ; unless would devis virtuou lie mine desert hang prais upon deceas niggard truth would willingli impart o lest true love may seem fals love speak well untru name buri bodi live shame shame bring forth love thing noth worth
sonnet lxxiii	time year thou mayst behold yellow leav none hang upon bough shake cold bare ruind choir late sweet bird sang thou seest twilight day sunset fadeth west black night doth take away death second self seal rest thou seest glow fire ash youth doth lie death - bed whereon must expir consum nourishd thou perceivest make thi love strong love well thou must leav ere long
sonnet lxxiv	content fell arrest without bail shall carri away life hath line interest memori still thee shall stay thou reviewest thou dost review part consecr thee earth earth due ; spirit thine better part thou hast lost dreg life prey worm bodi dead coward conquest wretch knife base thee rememb worth contain thee remain
sonnet lxxv	thought food life sweet - seasond shower ground ; peac hold strife twixt miser wealth found ; proud enjoy anon doubt filch age steal treasur count best alon betterd world may see pleasur ; sometim full feast sight clean starv look ; possess pursu delight save must took thu pine surfeit day day glutton away
sonnet lxxvi	vers barren new pride far variat quick chang time glanc asid new - found method compound strang write still one ever keep invent note weed everi word doth almost tell name show birth proceed o know sweet love alway write love still argument ; best dress old word new spend alreadi spent sun daili new old love still tell told
sonnet lxxvii	thi glass show thee thi beauti wear thi dial thi preciou minut wast ; vacant leav thi mind imprint bear book learn mayst thou tast wrinkl thi glass truli show mouth grave give thee memori ; thou thi dial shadi stealth mayst know time thievish progress etern look thi memori contain commit wast blank thou shalt find children nurs deliverd thi brain take new acquaint thi mind offic oft thou wilt look shall profit thee much enrich thi book
sonnet lxxviii	oft invok thee muse found fair assist vers everi alien pen hath got use thee poesi dispers thine eye taught dumb high sing heavi ignor aloft fli ad feather learn wing given grace doubl majesti yet proud compil whose influenc thine born thee other work thou dost mend style art thi sweet grace grace ; thou art art dost advanc high learn rude ignor
sonnet lxxix	whilst alon call upon thi aid vers alon thi gentl grace graciou number decayd sick muse doth give anoth place grant sweet love thi love argument deserv travail worthier pen yet thee thi poet doth invent rob thee pay thee lend thee virtu stole word thi behavior ; beauti doth give found thi cheek ; afford prais thee thee doth live thank doth say sinc owe thee thou thyself dost pay
sonnet lxxx	o faint write know better spirit doth use name prais thereof spend might make tongu - tie speak fame sinc worth wide ocean humbl proudest sail doth bear sauci bark inferior far broad main doth wil appear shallowest help hold afloat whilst upon soundless deep doth ride ; wreckd worthless boat tall build goodli pride thrive cast away worst ; love decay
sonnet lxxxi	shall live epitaph make surviv earth rotten ; henc memori death cannot take although part forgotten name henc immort life shall though gone world must die earth yield common grave entomb men eye shall lie monument shall gentl vers eye yet creat shall oer - read tongu shall rehears breather world dead ; still shall live -- virtu hath pen -- breath breath even mouth men
sonnet lxxxii	grant thou wert marri muse therefor mayst without attaint oerlook dedic word writer use fair subject bless everi book thou art fair knowledg hue find thi worth limit past prais therefor art enforc seek anew fresher stamp time - better day love ; yet devis strain touch rhetor lend thou truli fair wert truli sympath true plain word thi true - tell friend ; gross paint might better use cheek need blood ; thee abus
sonnet lxxxiii	never saw paint need therefor fair paint set ; found thought found exceed barren tender poet debt ; therefor slept report extant well might show far modern quill doth come short speak worth worth doth grow silenc sin imput shall glori dumb ; impair beauti mute other would give life bring tomb live life one fair eye poet prais devis
sonnet lxxxiv	say say rich prais alon whose confin immur store exampl equal grew lean penuri within pen doth dwell subject lend small glori ; write tell dignifi stori let copi writ make wors natur made clear counterpart shall fame wit make style admir everi beauteou bless add curs fond prais make prais wors
sonnet lxxxv	tongu - tie muse manner hold still comment prais richli compil reserv charact golden quill preciou phrase muse file think good thought whilst write good word like unletterd clerk still cri amen everi hymn abl spirit afford polishd form well - refin pen hear prais say ti ti true prais add someth ; thought whose love though word come hindmost hold rank other breath word respect dumb thought speak effect
sonnet lxxxvi	proud full sail great vers bound prize preciou ripe thought brain inhears make tomb womb wherein grew spirit spirit taught write mortal pitch struck dead neither compeer night give aid vers astonish affabl familiar ghost nightli gull intellig victor silenc cannot boast ; sick fear thenc counten filld line lackd matter ; enfeebl mine
sonnet lxxxvii	farewel thou art dear possess like enough thou knowst thi estim charter thi worth give thee releas ; bond thee determin hold thee thi grant rich deserv caus fair gift want patent back swerv thyself thou gavest thi worth know thou gavest els mistak ; thi great gift upon mispris grow come home better judgment make thu thee dream doth flatter sleep king wake matter
sonnet lxxxviii	thou shalt dispos set light place merit eye scorn upon thi side ill fight prove thee virtuou though thou art forsworn mine weak best acquaint upon thi part set stori fault conceald wherein attaint thou lose shalt win much glori gainer ; bend love thought thee injuri thee vantag doubl - vantag love thee belong thi right bear wrong
sonnet lxxxix	say thou didst forsak fault comment upon offenc ; speak lame straight halt thi reason make defenc thou canst love disgrac half ill set form upon desir chang ill disgrac know thi acquaint strangl look strang absent thi walk tongu thi sweet belov name shall dwell lest much profan wrong hapli old acquaint tell thee ill vow debat must neer love thou dost hate
sonnet xc	hate thou wilt ; ever ; world bent deed cross join spite fortun make bow drop - loss ah heart hath scope sorrow come rearward conquerd woe ; give windi night raini morrow linger purpos overthrow thou wilt leav leav last petti grief done spite onset come ; shall tast first worst fortun might strain woe seem woe compar loss thee seem
sonnet xci	glori birth skill wealth bodi forc garment though new - fangl ill hawk hound hors ; everi humour hath adjunct pleasur wherein find joy rest particular measur ; better one gener best thi love better high birth richer wealth prouder garment cost delight hawk hors ; thee men pride boast wretch alon thou mayst take away wretch make
sonnet xcii	thi worst steal thyself away term life thou art assur mine life longer thi love stay depend upon love thine need fear worst wrong least life hath end see better state belong thi humour doth depend ; thou canst vex inconst mind sinc life thi revolt doth lie o happi titl find happi thi love happi die what bless - fair fear blot thou mayst fals yet know
sonnet xciii	shall live suppos thou art true like deceiv husband ; love face may still seem love though alterd new ; thi look thi heart place live hatr thine eye therefor cannot know thi chang mani look fals heart histori writ mood frown wrinkl strang heaven thi creation decre thi face sweet love ever dwell ; whateer thi thought thi heart work thi look noth thenc sweet tell like eve appl doth thi beauti grow thi sweet virtu answer thi show
sonnet xciv	power hurt none thing show move other stone unmov cold temptat slow rightli inherit heaven grace husband natur rich expens ; lord owner face other steward excel summer flower summer sweet though live die flower base infect meet basest weed outbrav digniti sweetest thing turn sourest deed ; lili fester smell far wors weed
sonnet xcv	sweet love dost thou make shame like canker fragrant rose doth spot beauti thi bud name o sweet dost thou thi sin enclos tongu tell stori thi day make lascivi comment thi sport cannot disprais kind prais ; name thi name bless ill report o mansion vice got habit chose thee beauti veil doth cover everi blot thing turn fair eye see take heed dear heart larg privileg ; hardest knife ill - use doth lose edg
sonnet xcvi	say thi fault youth wanton ; say thi grace youth gentl sport ; grace fault love less ; thou makest fault grace thee resort finger throne queen basest jewel well esteemd error thee seen truth translat true thing deemd mani lamb might stem wolf betray like lamb could look translat mani gazer mightst thou lead away thou wouldst use strength thi state ; love thee sort thou mine mine thi good report
sonnet xcvii	like winter hath absenc thee pleasur fleet year freez felt dark day seen old decemb bare everi yet time remov summer time teem autumn big rich increas bear wanton burden prime like widowd womb lord deceas yet abund issu seemd hope orphan unfatherd fruit ; summer pleasur wait thee thou away bird mute ; sing ti dull cheer leav look pale dread winter near
sonnet xcviii	absent spring proud - pie april dressd trim hath put spirit youth everi thing heavi saturn laughd leapd yet lay bird sweet smell differ flower odour hue could make summer stori tell proud lap pluck grew ; wonder lili white prais deep vermilion rose ; sweet figur delight drawn pattern yet seemd winter still away shadow play
sonnet xcix	forward violet thu chide sweet thief whenc didst thou steal thi sweet smell love breath purpl pride thi soft cheek complexion dwell love vein thou hast grossli dy lili condemn thi hand bud marjoram stoln thi hair rose fear thorn stand one blush shame anoth white despair ; third red white stoln robberi annexd thi breath ; theft pride growth veng canker eat death flower note yet none could see sweet colour stoln thee
sonnet c	art thou muse thou forgetst long speak give thee thi might spendst thou thi furi worthless song darken thi power lend base subject light return forget muse straight redeem gentl number time idli spent ; sing ear doth thi lay esteem give thi pen skill argument rise resti muse love sweet face survey time wrinkl graven ; satir decay make time spoil despis everi give love fame faster time wast life ; thou preventst scyth crook knife
